#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Evolution_Level,Sprite
1.0,Bulbasaur,Grass,Poison,318.0,45.0,49.0,49.0,65.0,65.0,45.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.0.png
2.0,Ivysaur,Grass,Poison,405.0,60.0,62.0,63.0,80.0,80.0,60.0,1.0,False,3.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.0.png
3.0,Venusaur,Grass,Poison,525.0,80.0,82.0,83.0,100.0,100.0,80.0,1.0,False,3.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.0.png
3.0,VenusaurMega Venusaur,Grass,Poison,625.0,80.0,100.0,123.0,122.0,120.0,80.0,1.0,False,4.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.0.png
4.0,Charmander,Fire,,309.0,39.0,52.0,43.0,60.0,50.0,65.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.0.png
5.0,Charmeleon,Fire,,405.0,58.0,64.0,58.0,80.0,65.0,80.0,1.0,False,3.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.0.png
6.0,Charizard,Fire,Flying,534.0,78.0,84.0,78.0,109.0,85.0,100.0,1.0,False,3.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.0.png
6.0,CharizardMega Charizard X,Fire,Dragon,634.0,78.0,130.0,111.0,130.0,85.0,100.0,1.0,False,4.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.0.png
6.0,CharizardMega Charizard Y,Fire,Flying,634.0,78.0,104.0,78.0,159.0,115.0,100.0,1.0,False,4.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.0.png
7.0,Squirtle,Water,,314.0,44.0,48.0,65.0,50.0,64.0,43.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.0.png
8.0,Wartortle,Water,,405.0,59.0,63.0,80.0,65.0,80.0,58.0,1.0,False,3.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.0.png
9.0,Blastoise,Water,,530.0,79.0,83.0,100.0,85.0,105.0,78.0,1.0,False,3.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.0.png
9.0,BlastoiseMega Blastoise,Water,,630.0,79.0,103.0,120.0,135.0,115.0,78.0,1.0,False,4.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.0.png
10.0,Caterpie,Bug,,195.0,45.0,30.0,35.0,20.0,20.0,45.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.0.png
11.0,Metapod,Bug,,205.0,50.0,20.0,55.0,25.0,25.0,30.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.0.png
12.0,Butterfree,Bug,Flying,395.0,60.0,45.0,50.0,90.0,80.0,70.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.0.png
13.0,Weedle,Bug,Poison,195.0,40.0,35.0,30.0,20.0,20.0,50.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.0.png
14.0,Kakuna,Bug,Poison,205.0,45.0,25.0,50.0,25.0,25.0,35.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.0.png
15.0,Beedrill,Bug,Poison,395.0,65.0,90.0,40.0,45.0,80.0,75.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.0.png
15.0,BeedrillMega Beedrill,Bug,Poison,495.0,65.0,150.0,40.0,15.0,80.0,145.0,1.0,False,4.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.0.png
16.0,Pidgey,Normal,Flying,251.0,40.0,45.0,40.0,35.0,35.0,56.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.0.png
17.0,Pidgeotto,Normal,Flying,349.0,63.0,60.0,55.0,50.0,50.0,71.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.0.png
18.0,Pidgeot,Normal,Flying,479.0,83.0,80.0,75.0,70.0,70.0,101.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.0.png
18.0,PidgeotMega Pidgeot,Normal,Flying,579.0,83.0,80.0,80.0,135.0,80.0,121.0,1.0,False,4.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.0.png
19.0,Rattata,Normal,,253.0,30.0,56.0,35.0,25.0,35.0,72.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.0.png
20.0,Raticate,Normal,,413.0,55.0,81.0,60.0,50.0,70.0,97.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.0.png
21.0,Spearow,Normal,Flying,262.0,40.0,60.0,30.0,31.0,31.0,70.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.0.png
22.0,Fearow,Normal,Flying,442.0,65.0,90.0,65.0,61.0,61.0,100.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.0.png
23.0,Ekans,Poison,,288.0,35.0,60.0,44.0,40.0,54.0,55.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.0.png
24.0,Arbok,Poison,,438.0,60.0,85.0,69.0,65.0,79.0,80.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.0.png
25.0,Pikachu,Electric,,320.0,35.0,55.0,40.0,50.0,50.0,90.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.0.png
26.0,Raichu,Electric,,485.0,60.0,90.0,55.0,90.0,80.0,110.0,1.0,False,3.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.0.png
27.0,Sandshrew,Ground,,300.0,50.0,75.0,85.0,20.0,30.0,40.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.0.png
28.0,Sandslash,Ground,,450.0,75.0,100.0,110.0,45.0,55.0,65.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.0.png
29.0,Nidoran♀,Poison,,275.0,55.0,47.0,52.0,40.0,40.0,41.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.0.png
30.0,Nidorina,Poison,,365.0,70.0,62.0,67.0,55.0,55.0,56.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.0.png
31.0,Nidoqueen,Poison,Ground,505.0,90.0,92.0,87.0,75.0,85.0,76.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.0.png
32.0,Nidoran♂,Poison,,273.0,46.0,57.0,40.0,40.0,40.0,50.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.0.png
33.0,Nidorino,Poison,,365.0,61.0,72.0,57.0,55.0,55.0,65.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.0.png
34.0,Nidoking,Poison,Ground,505.0,81.0,102.0,77.0,85.0,75.0,85.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.0.png
35.0,Clefairy,Fairy,,323.0,70.0,45.0,48.0,60.0,65.0,35.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.0.png
36.0,Clefable,Fairy,,483.0,95.0,70.0,73.0,95.0,90.0,60.0,1.0,False,3.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.0.png
37.0,Vulpix,Fire,,299.0,38.0,41.0,40.0,50.0,65.0,65.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.0.png
38.0,Ninetales,Fire,,505.0,73.0,76.0,75.0,81.0,100.0,100.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.0.png
39.0,Jigglypuff,Normal,Fairy,270.0,115.0,45.0,20.0,45.0,25.0,20.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.0.png
40.0,Wigglytuff,Normal,Fairy,435.0,140.0,70.0,45.0,85.0,50.0,45.0,1.0,False,3.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.0.png
41.0,Zubat,Poison,Flying,245.0,40.0,45.0,35.0,30.0,40.0,55.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.0.png
42.0,Golbat,Poison,Flying,455.0,75.0,80.0,70.0,65.0,75.0,90.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.0.png
43.0,Oddish,Grass,Poison,320.0,45.0,50.0,55.0,75.0,65.0,30.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.0.png
44.0,Gloom,Grass,Poison,395.0,60.0,65.0,70.0,85.0,75.0,40.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.0.png
45.0,Vileplume,Grass,Poison,490.0,75.0,80.0,85.0,110.0,90.0,50.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.0.png
46.0,Paras,Bug,Grass,285.0,35.0,70.0,55.0,45.0,55.0,25.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.0.png
47.0,Parasect,Bug,Grass,405.0,60.0,95.0,80.0,60.0,80.0,30.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.0.png
48.0,Venonat,Bug,Poison,305.0,60.0,55.0,50.0,40.0,55.0,45.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.0.png
49.0,Venomoth,Bug,Poison,450.0,70.0,65.0,60.0,90.0,75.0,90.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.0.png
50.0,Diglett,Ground,,265.0,10.0,55.0,25.0,35.0,45.0,95.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.0.png
51.0,Dugtrio,Ground,,405.0,35.0,80.0,50.0,50.0,70.0,120.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.0.png
52.0,Meowth,Normal,,290.0,40.0,45.0,35.0,40.0,40.0,90.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.0.png
53.0,Persian,Normal,,440.0,65.0,70.0,60.0,65.0,65.0,115.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.0.png
54.0,Psyduck,Water,,320.0,50.0,52.0,48.0,65.0,50.0,55.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.0.png
55.0,Golduck,Water,,500.0,80.0,82.0,78.0,95.0,80.0,85.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.0.png
56.0,Mankey,Fighting,,305.0,40.0,80.0,35.0,35.0,45.0,70.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.0.png
57.0,Primeape,Fighting,,455.0,65.0,105.0,60.0,60.0,70.0,95.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.0.png
58.0,Growlithe,Fire,,350.0,55.0,70.0,45.0,70.0,50.0,60.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.0.png
59.0,Arcanine,Fire,,555.0,90.0,110.0,80.0,100.0,80.0,95.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.0.png
60.0,Poliwag,Water,,300.0,40.0,50.0,40.0,40.0,40.0,90.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.0.png
61.0,Poliwhirl,Water,,385.0,65.0,65.0,65.0,50.0,50.0,90.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.0.png
62.0,Poliwrath,Water,Fighting,510.0,90.0,95.0,95.0,70.0,90.0,70.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.0.png
63.0,Abra,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.0.png
64.0,Kadabra,Psychic,,400.0,40.0,35.0,30.0,120.0,70.0,105.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.0.png
65.0,Alakazam,Psychic,,500.0,55.0,50.0,45.0,135.0,95.0,120.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.0.png
65.0,AlakazamMega Alakazam,Psychic,,590.0,55.0,50.0,65.0,175.0,95.0,150.0,1.0,False,4.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.0.png
66.0,Machop,Fighting,,305.0,70.0,80.0,50.0,35.0,35.0,35.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.0.png
67.0,Machoke,Fighting,,405.0,80.0,100.0,70.0,50.0,60.0,45.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.0.png
68.0,Machamp,Fighting,,505.0,90.0,130.0,80.0,65.0,85.0,55.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.0.png
69.0,Bellsprout,Grass,Poison,300.0,50.0,75.0,35.0,70.0,30.0,40.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.0.png
70.0,Weepinbell,Grass,Poison,390.0,65.0,90.0,50.0,85.0,45.0,55.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.0.png
71.0,Victreebel,Grass,Poison,490.0,80.0,105.0,65.0,100.0,70.0,70.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.0.png
72.0,Tentacool,Water,Poison,335.0,40.0,40.0,35.0,50.0,100.0,70.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.0.png
73.0,Tentacruel,Water,Poison,515.0,80.0,70.0,65.0,80.0,120.0,100.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.0.png
74.0,Geodude,Rock,Ground,300.0,40.0,80.0,100.0,30.0,30.0,20.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.0.png
75.0,Graveler,Rock,Ground,390.0,55.0,95.0,115.0,45.0,45.0,35.0,1.0,False,2.0,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.0.png
